system:index,month,name,precipitation,year,.geo
2_11_00000000000000000001,12.0,Saudi Arabia,19.90232362637381,2013.0,
2_11_00000000000000000002,12.0,Syria,44.597109608900894,2013.0,
2_11_00000000000000000003,12.0,Turkey,59.388476983816105,2013.0,
2_11_00000000000000000004,12.0,Iran,68.37945287411766,2013.0,
3_0_00000000000000000000,1.0,Iraq,44.69350384740832,2014.0,
3_0_00000000000000000001,1.0,Saudi Arabia,12.177050417537306,2014.0,
3_0_00000000000000000002,1.0,Syria,31.582207872394115,2014.0,
3_0_00000000000000000003,1.0,Turkey,63.18076454207798,2014.0,
3_0_00000000000000000004,1.0,Iran,92.1243509415017,2014.0,
3_1_00000000000000000000,2.0,Iraq,13.568709309935135,2014.0,
3_1_00000000000000000001,2.0,Saudi Arabia,5.972729474428022,2014.0,
3_1_00000000000000000002,2.0,Syria,15.643807263076775,2014.0,
3_1_00000000000000000003,2.0,Turkey,31.62135847622013,2014.0,
3_1_00000000000000000004,2.0,Iran,31.768166067243243,2014.0,
3_2_00000000000000000000,3.0,Iraq,46.874568588788655,2014.0,
3_2_00000000000000000001,3.0,Saudi Arabia,25.855881059710775,2014.0,
3_2_00000000000000000002,3.0,Syria,42.17070354788226,2014.0,
3_2_00000000000000000003,3.0,Turkey,76.05297692459021,2014.0,
3_2_00000000000000000004,3.0,Iran,97.46660434880258,2014.0,
3_3_00000000000000000000,4.0,Iraq,18.602813544650765,2014.0,
3_3_00000000000000000001,4.0,Saudi Arabia,9.529197978196487,2014.0,
3_3_00000000000000000002,4.0,Syria,19.033707697757844,2014.0,
3_3_00000000000000000003,4.0,Turkey,54.70976138803161,2014.0,
3_3_00000000000000000004,4.0,Iran,34.89963933906918,2014.0,
3_4_00000000000000000000,5.0,Iraq,8.338285924687142,2014.0,
3_4_00000000000000000001,5.0,Saudi Arabia,7.802668447130361,2014.0,
3_4_00000000000000000002,5.0,Syria,12.550797934291968,2014.0,
3_4_00000000000000000003,5.0,Turkey,47.272567285072576,2014.0,
3_4_00000000000000000004,5.0,Iran,9.967758556950564,2014.0,
3_5_00000000000000000000,6.0,Iraq,0.9197119472214663,2014.0,
3_5_00000000000000000001,6.0,Saudi Arabia,0.366928471326083,2014.0,
3_5_00000000000000000002,6.0,Syria,2.878597794096349,2014.0,
3_5_00000000000000000003,6.0,Turkey,23.22353548842902,2014.0,
3_5_00000000000000000004,6.0,Iran,1.1837034260628079,2014.0,
3_6_00000000000000000000,7.0,Iraq,0.12451946362157085,2014.0,
3_6_00000000000000000001,7.0,Saudi Arabia,0.021468620983997815,2014.0,
3_6_00000000000000000002,7.0,Syria,0.1324623447199587,2014.0,
3_6_00000000000000000003,7.0,Turkey,6.251400610918701,2014.0,
3_6_00000000000000000004,7.0,Iran,0.36089807736559293,2014.0,
