system:index,month,name,water,year,.geo
0_1_0000000000000000000c,2.0,Al-Salman,24223.211764705877,2013.0,
0_1_0000000000000000000d,2.0,Al-Samawa,12673.576470588236,2013.0,
0_1_0000000000000000003a,2.0,Al-Khidhir,16265.113725490184,2013.0,
0_1_00000000000000000003,2.0,Al-Najaf,110456.5411764706,2013.0,
0_1_0000000000000000003b,2.0,Al-Kufa,9109.568627450983,2013.0,
0_1_00000000000000000041,2.0,Al-Manathera,4327.270588235294,2013.0,
0_1_0000000000000000000e,2.0,Al-Shamiya,2646.929411764706,2013.0,
0_1_00000000000000000021,2.0,Afaq,233810.90980392144,2013.0,
0_1_0000000000000000002a,2.0,Al-Diwaniya,3871.149019607843,2013.0,
0_1_0000000000000000002f,2.0,Al-Hamza,13885.466666666664,2013.0,
0_1_00000000000000000012,2.0,Al-Sulaymaniyah,295.0,2013.0,
0_1_0000000000000000001f,2.0,Chamchamal,1508.7450980392157,2013.0,
0_1_00000000000000000045,2.0,Derbendikhan,29901.858823529416,2013.0,
0_1_00000000000000000047,2.0,Dokan,55367.49019607845,2013.0,
0_1_0000000000000000004b,2.0,Halabcha,11315.400000000001,2013.0,
0_1_0000000000000000004d,2.0,Kalar,12903.952941176472,2013.0,
0_1_00000000000000000054,2.0,Panjwin,86.0,2013.0,
0_1_00000000000000000055,2.0,Pshdar,4988.0431372548965,2013.0,
0_1_00000000000000000057,2.0,Rania,84956.92941176449,2013.0,
0_1_0000000000000000005b,2.0,Sharbazher,2134.341176470588,2013.0,
0_1_00000000000000000002,2.0,Al-Mussyab,42679.68627450981,2013.0,
0_1_00000000000000000030,2.0,Al-Hashimiya,5267.870588235294,2013.0,
0_1_00000000000000000033,2.0,Al-Hilla,16172.831372549019,2013.0,
0_1_0000000000000000003e,2.0,Al-Mahaweel,16505.290196078444,2013.0,
0_1_00000000000000000009,2.0,Al-Risafa,6711.419607843137,2013.0,
0_1_00000000000000000014,2.0,Al-Thawra,977.2235294117647,2013.0,
0_1_00000000000000000023,2.0,Al-Adhamiya,2725.0470588235294,2013.0,
0_1_00000000000000000035,2.0,Al-Kadhmiyah,31128.69019607843,2013.0,
0_1_00000000000000000038,2.0,Al-Karkh,7841.250980392152,2013.0,
0_1_0000000000000000003d,2.0,Al-Mada'in,28079.341176470625,2013.0,
0_1_0000000000000000003f,2.0,Al-Mahmoudiya,11078.49411764706,2013.0,
0_1_00000000000000000024,2.0,Al-Amadiya,1894.5333333333333,2013.0,
0_1_00000000000000000048,2.0,Duhok,3098.4666666666667,2013.0,
0_1_0000000000000000005e,2.0,Sumail,20075.419607843203,2013.0,
0_1_00000000000000000064,2.0,Zakho,4533.490196078431,2013.0,
0_1_00000000000000000001,2.0,Al-Muqdadiya,7090.470588235295,2013.0,
0_1_0000000000000000001c,2.0,Baladruz,48516.423529411775,2013.0,
0_1_0000000000000000001d,2.0,Baquba,7951.270588235295,2013.0,
0_1_00000000000000000039,2.0,Al-Khalis,14299.019607843138,2013.0,
0_1_0000000000000000004f,2.0,Khanaqin,282906.0039215682,2013.0,
0_1_00000000000000000050,2.0,Kifri,4949.1764705882315,2013.0,
0_1_00000000000000000015,2.0,Al-Zibar,494.32549019607836,2013.0,
0_1_00000000000000000049,2.0,Erbil,0.0,2013.0,
0_1_00000000000000000052,2.0,Koysinjaq,2141.2745098039213,2013.0,
0_1_00000000000000000053,2.0,Makhmour,1192.7490196078431,2013.0,
0_1_00000000000000000058,2.0,Rawanduz,0.0,2013.0,
0_1_0000000000000000005a,2.0,Shaqlawa,1.0,2013.0,
0_1_00000000000000000022,2.0,Ain Al-Tamur,0.0,2013.0,
0_1_00000000000000000034,2.0,Al-Hindiya,5559.533333333334,2013.0,
0_1_0000000000000000004e,2.0,Kerbela,23321.098039215685,2013.0,
0_1_00000000000000000032,2.0,Al-Hawiga,1780.345098039215,2013.0,
0_1_00000000000000000044,2.0,Daquq,13.0,2013.0,
0_1_00000000000000000046,2.0,Dibis,0.0,2013.0,
0_1_00000000000000000051,2.0,Kirkuk,270.0,2013.0,
0_1_00000000000000000017,2.0,Ali Al-Gharbi,158601.79215686274,2013.0,
0_1_00000000000000000025,2.0,Al-Amara,86369.6705882353,2013.0,
0_1_00000000000000000036,2.0,Al-Kahla,600465.6549019606,2013.0,
0_1_00000000000000000040,2.0,Al-Maimouna,199413.16862745103,2013.0,
0_1_00000000000000000042,2.0,Al-Mejar Al-Kabir,362717.6352941177,2013.0,
0_1_00000000000000000056,2.0,Qalat Saleh,7777.611764705884,2013.0,
0_1_00000000000000000000,2.0,Al-Mosul,34797.50196078432,2013.0,
0_1_00000000000000000010,2.0,Al-Shikhan,1499.4941176470586,2013.0,
0_1_00000000000000000019,2.0,Aqra,9941.18431372549,2013.0,
0_1_00000000000000000026,2.0,Al-Baaj,86392.17647058824,2013.0,
0_1_0000000000000000002e,2.0,Al-Hamdaniya,33536.25882352942,2013.0,
0_1_00000000000000000031,2.0,Al-Hatra,40315.0,2013.0,
0_1_0000000000000000005d,2.0,Sinjar,203.0,2013.0,
0_1_00000000000000000060,2.0,Telafar,185385.00392156845,2013.0,
0_1_00000000000000000062,2.0,Tilkaef,127539.50588235282,2013.0,
0_1_00000000000000000011,2.0,Al-Shirqat,19158.498039215694,2013.0,
0_1_0000000000000000001b,2.0,Balad,56921.44705882351,2013.0,
0_1_0000000000000000001e,2.0,Beygee,16350.627450980393,2013.0,
0_1_00000000000000000029,2.0,Al-Daur,580.364705882353,2013.0,
0_1_00000000000000000059,2.0,Samarra,354818.68627450964,2013.0,
0_1_00000000000000000061,2.0,Tikrit,0.0,2013.0,
0_1_00000000000000000063,2.0,Tooz Khurmato,35878.46666666662,2013.0,
0_1_00000000000000000005,2.0,Al-Nasiriya,218117.2117647057,2013.0,
0_1_00000000000000000008,2.0,Al-Rifai,40460.89803921571,2013.0,
0_1_0000000000000000000f,2.0,Al-Shatra,40003.188235294125,2013.0,
0_1_00000000000000000028,2.0,Al-Chibayish,950912.2784313723,2013.0,
0_1_0000000000000000005f,2.0,Suq Al-Shoyokh,357356.7568627449,2013.0,
0_1_00000000000000000004,2.0,Al-Namaniya,254547.79607843107,2013.0,
0_1_00000000000000000013,2.0,Al-Suwaira,59188.04705882354,2013.0,
0_1_0000000000000000001a,2.0,Badra,100105.49411764703,2013.0,
0_1_0000000000000000002d,2.0,Al-Hai,37455.207843137265,2013.0,
0_1_0000000000000000003c,2.0,Al-Kut,378843.36470588227,2013.0,
0_2_00000000000000000007,3.0,Al-Ramadi,797384.3529411759,2013.0,
0_2_0000000000000000000b,3.0,Al-Rutba,5041.0,2013.0,
0_2_00000000000000000018,3.0,Ana,217833.1843137253,2013.0,
0_2_0000000000000000002b,3.0,Al-Falluja,166091.23921568616,2013.0,
0_2_00000000000000000037,3.0,Al-Kaim,35562.21568627453,2013.0,
0_2_0000000000000000004a,3.0,Haditha,359879.56078431354,2013.0,
0_2_0000000000000000004c,3.0,Heet,478802.3921568624,2013.0,
0_2_00000000000000000006,3.0,Al-Qurna,255130.18823529413,2013.0,
0_2_00000000000000000016,3.0,Al-Zubair,12680.32941176472,2013.0,
0_2_00000000000000000020,3.0,Abu Al-Khaseeb,46819.65098039222,2013.0,
0_2_00000000000000000027,3.0,Al-Basrah,204079.81568627452,2013.0,
0_2_0000000000000000002c,3.0,Al-Faw,298594.96078431327,2013.0,
0_2_00000000000000000043,3.0,Al-Midaina,254610.85882352898,2013.0,
0_2_0000000000000000005c,3.0,Shat Al-Arab,42973.760784313796,2013.0,
0_2_0000000000000000000a,3.0,Al-Rumaitha,8708.30588235294,2013.0,
0_2_0000000000000000000c,3.0,Al-Salman,14559.435294117646,2013.0,
0_2_0000000000000000000d,3.0,Al-Samawa,6985.058823529412,2013.0,
0_2_0000000000000000003a,3.0,Al-Khidhir,8430.960784313731,2013.0,
0_2_00000000000000000003,3.0,Al-Najaf,107410.4862745098,2013.0,
0_2_0000000000000000003b,3.0,Al-Kufa,3145.854901960784,2013.0,
0_2_00000000000000000041,3.0,Al-Manathera,3610.035294117647,2013.0,
0_2_0000000000000000000e,3.0,Al-Shamiya,2848.3607843137256,2013.0,
0_2_00000000000000000021,3.0,Afaq,187332.4274509803,2013.0,
0_2_0000000000000000002a,3.0,Al-Diwaniya,3085.0235294117647,2013.0,
0_2_0000000000000000002f,3.0,Al-Hamza,13475.164705882353,2013.0,
0_2_00000000000000000012,3.0,Al-Sulaymaniyah,133.0,2013.0,
0_2_0000000000000000001f,3.0,Chamchamal,718.1019607843137,2013.0,
0_2_00000000000000000045,3.0,Derbendikhan,5396.1098039215685,2013.0,
0_2_00000000000000000047,3.0,Dokan,97700.98431372555,2013.0,
0_2_0000000000000000004b,3.0,Halabcha,0.0,2013.0,
0_2_0000000000000000004d,3.0,Kalar,2721.8823529411766,2013.0,
0_2_00000000000000000054,3.0,Panjwin,0.0,2013.0,
